k,Antes de ENN,Después de ENN
266,87.057411,93.864891
267,87.077415,93.866302
268,87.037407,93.86348
269,86.997398,93.837669
270,86.977402,93.813248
271,86.95739,93.765816
272,86.937386,93.695358
273,86.917381,93.693901
274,86.917381,93.670883
275,86.897377,93.62339
276,86.877373,93.621918
277,86.877373,93.5989
278,86.877373,93.5989
279,86.817368,93.594467
280,86.817368,93.548386
281,86.757347,93.520866
282,86.757347,93.49781
283,86.73735,93.427124
284,86.717346,93.425606
285,86.717346,93.402534
286,86.717346,93.402534
287,86.697342,93.354866
288,86.637329,93.350266
289,86.637329,93.304085
290,86.617317,93.302544
291,86.617317,93.279442
292,86.597321,93.277893
293,86.557312,93.228569
294,86.557312,93.228569
295,86.537308,93.203888
296,86.537308,93.180771
297,86.477295,93.176041
298,86.497299,93.154488
299,86.457291,93.105042
300,86.457291,93.058769
301,86.457291,93.012497
302,86.437286,93.01088
303,86.397278,92.984482
304,86.357269,92.981239
305,86.337265,92.956444
306,86.337265,92.886932
307,86.337265,92.863762
308,86.337265,92.817429
309,86.317268,92.79258
310,86.297264,92.790916
311,86.297264,92.790916
312,86.297264,92.744553
313,86.237244,92.693108
314,86.237244,92.693108
315,86.197243,92.666512
316,86.197243,92.643303
317,86.157234,92.616669
318,86.13723,92.591736
319,86.057213,92.584839
320,86.037209,92.559868
321,86.037209,92.513367
322,86.037209,92.513367
323,86.017204,92.651161
324,85.977196,95.393204
325,85.957191,96.18338
326,85.917183,96.251457
327,85.917183,96.251457
328,85.897179,96.273872
329,85.877174,96.273003
330,85.85717,96.295433
331,85.85717,96.295433
332,85.85717,96.295433
333,85.837166,96.294571
334,85.85717,96.272133
335,85.837166,96.247955
336,85.817162,96.270393
337,85.757156,96.314438
338,85.737144,96.336914
339,85.737144,96.336914
340,85.71714,96.359398
341,85.677132,96.357689
342,85.657135,96.380196
343,85.637131,96.379349
344,85.637131,96.379349
345,85.617126,96.378502
346,85.617126,96.378502
347,85.577118,96.376816
348,85.557106,96.399345
349,85.557106,96.399345
350,85.557106,96.399345
351,85.537109,96.42189
352,85.517105,96.421051
353,85.477097,96.466187
354,85.497101,96.443611
355,85.457092,96.465355
356,85.457092,96.465355
357,85.437088,96.464523
358,85.437088,96.464523
359,85.417084,96.463699
360,85.417084,96.463699
361,85.397079,96.462868
362,85.397079,96.462868
363,85.357071,96.48465
364,85.337067,96.507271
365,85.317062,96.506447
366,85.297058,96.529076
367,85.25705,96.527451
368,85.237053,96.55011
369,85.197037,96.548485
370,85.177032,96.571159
371,85.177032,96.571159
372,85.177032,96.571159
373,85.157028,96.570358
374,85.157028,96.570358
375,85.137024,96.56955
376,85.097023,96.614952
377,85.057014,96.636879
378,85.077019,96.614151
379,85.057014,96.613358
380,85.037003,96.636086
381,85.037003,96.636086
382,85.037003,96.636086
